name,popularity,career_length,number_of_movies,interval,start_date_1,end_date_1,start_date_2,end_date_2,count_interval_1,count_interval_2,avg_budget_0,avg_budget_1,std_budget_0,std_budget_1,avg_revenue_0,avg_revenue_1,avg_imdb_rating_0,avg_imdb_rating_1,avg_order_0,avg_order_1,std_order_0,std_order_1,avg_popularity_0,avg_popularity_1,Popularity (%)
Gretchen Mol,17.884,27,40,4745,1996,2009,2009,2023,31,9,10410051.5188172,2398151.064814815,14884383.342498466,2634286.2808616753,12772066.530241938,11752233.180555556,6.145161290322581,6.366666666666666,9.32258064516129,4.555555555555555,13.947799217714955,3.531166351571268,25.266322580645166,29.437888888888885,61.439415484408926
Keith MacKechnie,24.004,33,39,5840,1989,2005,2005,2022,10,29,12457392.4,4063573.379310345,13305049.951716883,6478485.742241744,16689689.420652175,7006880.240067468,5.930000000000001,6.120689655172415,18.3,10.137931034482758,9.613012014972206,8.471958361441729,31.120400000000007,19.37144827586206,61.43677080917769
Bill Gates,17.56,35,22,6205,1987,2003,2003,2022,4,18,188125.0,271736.1111111111,0.0,667702.5661332954,6483.4375,9725.15625,6.949999999999999,7.072222222222222,6.25,16.333333333333332,6.5717197140474575,24.919871588754223,4.5440000000000005,7.353888888888887,61.429749989668785
Antonio Cupo,17.182,21,44,3650,2002,2012,2012,2023,17,27,4384663.865546219,1393650.7936507938,5901888.611938886,1830065.7164651228,10502223.68382353,2519051.888888889,5.370588235294118,5.781481481481482,10.470588235294118,3.2962962962962963,22.98367105029344,3.818229324106629,15.168529411764707,11.892518518518514,61.41918564460224
Matthias Schweighöfer,18.312,26,68,4745,1997,2010,2010,2023,37,31,9038091.38461538,13097871.058312653,12504678.626704806,22148641.870749127,29127970.175675675,58576499.02822581,6.062162162162162,5.9322580645161285,4.135135135135135,5.516129032258065,7.385750203115427,8.594337850010604,20.56327027027027,21.07696774193549,61.4127738891188
Marilyn Norry,18.015,28,34,5110,1992,2006,2006,2020,12,22,19261458.333333332,12042897.727272728,23906722.60335324,29381947.45547804,31569554.00231481,18828090.62563131,5.6000000000000005,6.131818181818182,17.166666666666668,11.727272727272728,11.14176327557218,8.28570410779817,9.794999999999998,8.426818181818179,61.411620455518396
Toby Jones,40.009,31,103,5475,1992,2007,2007,2023,24,79,31085937.5,54122415.61181434,20244844.051417947,75565970.70086537,98627330.56764849,144908959.56432778,6.941666666666667,6.679746835443037,12.958333333333334,5.177215189873418,14.128809712388689,6.659455053675274,30.579958333333337,29.492354430379745,61.40809562485153
Michael Buscemi,23.719,28,22,5110,1995,2009,2009,2023,13,9,11579006.410256408,10728703.703703703,21304915.2710015,11003471.489331424,28197796.201923076,38075302.05555555,6.369230769230768,6.188888888888889,11.23076923076923,17.444444444444443,11.28752780832316,13.19184184858296,14.742615384615384,16.144555555555556,61.40673741494624
Andrea Sawatzki,15.289,35,79,6205,1988,2005,2005,2023,33,46,112554.11255411257,304347.82608695666,58401.46131269282,1036857.8803819648,817748.5421476671,878164.1641218081,5.909090909090909,6.002173913043477,3.272727272727273,2.1956521739130435,2.3260413408964227,5.127163658726415,8.187,8.450130434782608,61.40580383569198
Bray Poor,14.473,26,16,4745,1994,2007,2007,2020,10,6,21131250.0,10062500.0,23443490.067873854,0.0,54843824.9,23130527.25,6.21,6.783333333333332,23.1,5.666666666666667,20.43257203584512,12.229290885229426,15.215400000000002,7.335166666666667,61.40264196823945
